indicator,country,year,slope,ratio,q1,q2,q3,q4,q5
U5MR,Namibia,2013,-0.8677834221262957,2.161290322580645,67.0,68.0,66.0,56.0,31.0
U5MR,Nepal,2022,-1.4876124389388092,3.3125,53.0,50.0,30.0,28.0,16.0
U5MR,Nicaragua,2001,-1.457198012084081,3.3684210526315788,64.0,52.0,39.0,32.0,19.0
U5MR,Niger,2012,-0.24566362697103164,1.263157894736842,144.0,168.0,168.0,164.0,114.0
U5MR,Nigeria,2024,-1.3819019463420221,2.857142857142857,140.0,136.0,93.0,70.0,49.0
U5MR,Pakistan,2017,-0.7529566136118587,1.7857142857142858,100.0,82.0,82.0,58.0,56.0
U5MR,Papua New Guinea,2017,-0.8371896890861195,1.9166666666666667,69.0,61.0,46.0,42.0,36.0
U5MR,Paraguay,1990,-1.1715496739298086,2.85,57.0,50.0,59.0,39.0,20.0
U5MR,Peru,2012,-1.2751608499635334,2.5714285714285716,36.0,31.0,21.0,16.0,14.0
U5MR,Philippines,2022,-1.7611789490433825,4.375,35.0,23.0,25.0,13.0,8.0
U5MR,Rwanda,2019,-1.0525546442142046,2.4,72.0,57.0,43.0,40.0,30.0
U5MR,Sao Tome and Principe,2008,-1.0965179157647869,3.2142857142857144,90.0,72.0,76.0,83.0,28.0
U5MR,Senegal,2023,-0.881960075782458,1.7419354838709677,54.0,50.0,42.0,26.0,31.0
U5MR,Sierra Leone,2019,-0.49208145751302174,1.6292134831460674,145.0,126.0,123.0,125.0,89.0
U5MR,South Africa,2016,-0.7035621496692901,1.6341463414634145,67.0,52.0,51.0,34.0,41.0
U5MR,Tajikistan,2023,-0.12565721414045225,1.0,20.0,27.0,27.0,21.0,20.0
U5MR,Tanzania,2022,0.28768207245178246,0.75,39.0,50.0,46.0,50.0,52.0
U5MR,Timor-Leste,2016,-0.9395977963007361,2.2,55.0,46.0,41.0,34.0,25.0
U5MR,Togo,2013,-1.1261698740627253,2.608695652173913,120.0,109.0,97.0,78.0,46.0
U5MR,Turkey,2013,-1.4342157153400499,3.5,28.0,23.0,21.0,16.0,8.0
U5MR,Turkmenistan,2000,-0.5214904597930602,1.5142857142857142,106.0,99.0,86.0,80.0,70.0
U5MR,Uganda,2016,-0.5747155748609653,1.6603773584905661,88.0,79.0,73.0,69.0,53.0
U5MR,Ukraine,2007,-0.8010512157420485,2.5555555555555554,23.0,19.0,23.0,25.0,9.0
U5MR,Uzbekistan,1996,-0.25294519428962864,1.4,70.0,44.0,55.0,52.0,50.0
U5MR,Vietnam,2002,-1.4709750444963725,3.3125,53.0,38.0,23.0,22.0,16.0
U5MR,Yemen,2013,-0.8205327061343544,1.8157894736842106,69.0,72.0,56.0,46.0,38.0
U5MR,Zambia,2024,0.09682225517820758,0.926829268292683,38.0,47.0,40.0,49.0,41.0
U5MR,Zimbabwe,2015,-0.813880077279921,1.9615384615384615,102.0,90.0,96.0,68.0,52.0
